CODIGO TITULO MIDIA PRECO GENERO
LK79111 121212_CONCERTO_PARA_AS_VITIMAS_DO_FURACAO_SANDY___________________ DVD-S 39.9_ DOCUMENTARIO
WB80250 300__A_ASCENSAO_DO_IMPERIO_________________________________________ DVD-S 49.9_ ACAO________
WB80268 300__A_ASCENSAO_DO_IMPERIO_________________________________________ BLU-R 79.9_ ACAO________
WB80276 300__A_ASCENSAO_DO_IMPERIO_(2D_+_3D)_______________________________ BLU-R 99.9_ ACAO________
WB80934 300_+_300__A_ASCENSAO_DO_IMPERIO_(DUPLO)___________________________ DVD/D 59.9_ ACAO________
WB80942 300_+_300__A_ASCENSAO_DO_IMPERIO_(DUPLO)___________________________ BLU-R 99.9_ ACAO________
CL80349 A_BATALHA_DO_ANO___________________________________________________ SELL_ 44.9_ DRAMA_______
CL80357 A_BATALHA_DO_ANO_(2D_+_3D)_________________________________________ BLU-R 89.9_ DRAMA_______
FH79588 A_CONQUISTA_DO_IMPERIO_____________________________________________ SELL_ 39.9_ ACAO________
FH79596 A_CONQUISTA_DO_IMPERIO_____________________________________________ BLU-R 39.9_ ACAO________
EV79871 A_FITA_AZUL_(IDIOMA_INGLES)________________________________________ DVD-S 69.9_ DRAMA_______
PA79235 A_GAIOLA_DOURADA___________________________________________________ SELL_ 39.99 COMEDIA_____
LK79057 A_GRANDE_VITORIA___________________________________________________ DVD-S 109.9 DRAMA_______
LK79065 A_GRANDE_VITORIA___________________________________________________ BLU-R 99.9_ DRAMA_______
PA79201 A_GRANDE_VOLTA_____________________________________________________ DVD-S 99.99 AVENTURA____
FC80012 A_GUERRA_DE_MADDISON_______________________________________________ DVD-S 89.9_ GUERRA______
FC78921 A_INVOCACAO_2______________________________________________________ DVD-S 89.9_ TERROR______
FC78930 A_INVOCACAO_2_(2D_E_3D)____________________________________________ BLU-R 89.9_ TERROR______
FC80004 A_INVOCACAO_2_(COMBO)______________________________________________ DV+BD 119.9 TERROR______
NL80985 A_LENDA_DOS_BEIJOS_PERDIDOS_(IDIOMA_INGLES)________________________ DVD-S 29.9_ ROMANCE_____
VE80713 A_QUEIMA_ROUPA_(IDIOMA_INGLES)_____________________________________ DVD-S 39.9_ POLICIAL____
